id,name,host_id,host_name,neighbourhood,postcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,availability_365
832235,Luxury Double En Suite Bedroom,4356624,Claire,Southville,BS3 2BJ,51.44201122,-2.61938803,Apartment,Private room,2,1,1,1,55,1,88,11-11-2018,2.04,98,10,10,10,10,10,10,1,331
838106,Big double room ensuite bathroom,4379169,Sarah,Redland,BS6 7AW,51.47079467,-2.59644659,House,Private room,2,1,1,1,55,2,191,07-11-2018,2.72,98,10,10,10,10,10,9,2,340
853819,peaceful short term home,4474160,Sarah,Ashley,,51.46962641,-2.580884956,House,Private room,2,,1,,62,21,0,,,,,,,,,,1,365
868888,Large double room with breakfast,4577089,Rohan,Eastville,,51.47277964,-2.547133623,Bed and breakfast,Private room,2,1,1,1,21,20,4,31-10-2018,0.51,93,10,9,10,10,9,10,2,333
870076,Cosy Single Bedroom in Southville,3647954,Cath,Southville,BS3 1PR,51.44593291,-2.603092352,House,Private room,1,,1,1,39,1,131,07-11-2018,1.88,92,10,9,10,10,9,9,2,328
897555,Cosy nicely lit room in Bedminster,3271882,Gwen,Southville,BS3 4NE,51.44160501,-2.598635484,House,Private room,1,1,1,1,27,2,124,09-11-2018,1.75,91,9,9,9,9,9,9,2,357
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,Redland,BS6 7HF,51.47513055,-2.604740279,Barn,Entire home/apt,5,2,2,4,120,2,171,04-11-2018,2.62,96,10,9,10,10,10,10,2,281
975170,Double room in quiet LGBTQ friendly home,5332833,Ashley,Eastville,BS16 1AX,51.48256227,-2.554599022,House,Private room,2,2.5,1,1,28,2,89,30-09-2018,1.3,98,10,10,10,10,9,10,2,76
979236,large ensuite with seating area,1156132,Sue And Toby,Ashley,BS6 5LE,51.46665137,-2.582843581,House,Private room,2,1,1,1,55,1,156,12-11-2018,2.69,94,10,9,10,10,9,9,2,82
995235,Clifton Towers Bristol B and B ,5466703,Marie,Clifton,BS8 1BN,51.45308231,-2.615436623,Bed and breakfast,Private room,2,1,1,1,48,1,156,11-11-2018,2.55,98,10,10,10,10,10,10,1,333
996270,Cosy Room in Victorian Terrace,4341765,Patricia,St George Central,,51.45976998,-2.539083108,t,Private room,Private room,2,1.5,1,22,2,23,11-05-2018,0.46,11-05-2018,97,10,10,10,10,9,4,267
1033484,Tranquil Room near City Centre,5687726,Joanne,Ashley,BS2 9LJ,51.46306826,-2.579818318,House,Private room,1,1.5,1,1,33,1,271,27-10-2018,3.99,97,10,10,10,10,9,10,2,344
1058698,Ace Attic room in Victorian Terrace,4341765,Patricia,St George West,BS5 8HY,51.45989763,-2.541015324,Bed and breakfast,Private room,2,1.5,1,1,28,2,22,06-08-2018,1.41,93,10,10,10,9,8,9,4,304
1096853,"Super Convenient, All You Need: Double Bed+Single",487598,Maggie,Easton,BS5 6EZ,51.46906534,-2.560774904,Townhouse,Private room,3,1.5,1,2,32,1,324,27-10-2018,4.87,94,10,10,10,10,9,9,4,44
1096947,"Super Convenient, All You Need -  Cosy Double Room",487598,Maggie,Easton,BS5 6EZ,51.46922174,-2.561049482,Townhouse,Private room,2,1.5,1,1,29,1,276,03-11-2018,4.17,96,10,10,10,10,9,10,4,44
1166104,Private room in ‘Garden Square' Georgian townhouse,6386989,Anne + Iain,Hotwells & Harbourside,BS8 4PW,51.45051918,-2.620554479,Townhouse,Private room,2,1,1,2,37,2,54,11-11-2018,0.82,97,10,10,10,10,10,10,2,333
1194755,Colourful Victorian House with Siamese cats,1950884,Sonia,Redland,BS7 8PY,51.47905385,-2.590159838,House,Entire home/apt,8,2.5,4,5,150,1,12,04-11-2018,0.23,97,10,10,9,9,9,9,5,0
1258955,Small double room in Bedminster,3271882,Gwen,Southville,BS3 4NE,51.44020308,-2.597721652,House,Private room,2,1,1,1,33,2,73,05-11-2018,1.11,90,9,9,10,10,9,9,2,357
1260621,An Old Jewellers in Montpelier,6865698,Kirsty,Ashley,BS6 5QA,51.4646526,-2.589472739,Townhouse,Private room,2,1,1,1,28,1,118,11-11-2018,1.96,95,10,10,10,10,10,10,2,315
1306288,"A quiet, private, modern apartment with balcony",7102048,Robert,Ashley,,51.45953954,-2.586713765,Apartment,Entire home/apt,2,1,1,1,105,3,41,04-09-2017,0.63,89,9,10,9,9,9,9,9,346
1329265,"Excellent central location, perfect for visitors",7144675,Stephanie,Lawrence Hill,BS5 0QZ,51.45951633,-2.573789934,Townhouse,Private room,3,1,1,1,35,2,180,27-10-2018,2.79,96,10,10,10,10,9,9,1,167
1337681,Stylish Home in Amazing Location,7254449,Tamsin,Stoke Bishop,BS9,51.47366047,-2.639051725,House,Entire home/apt,9,4,5,6,350,7,14,17-09-2018,0.22,95,10,10,10,10,10,10,2,343
1371440,Modern 1 Bedroom Flat near Center,2975961,Tony,Clifton,BS8 1EU,51.45215987,-2.610417458,Apartment,Entire home/apt,5,1,1,3,76,1,220,22-12-2017,3.41,88,9,9,9,9,9,9,2,0
1457693,Cosy single room with breakfast,4577089,Rohan,Eastville,BS5 6RR,51.47370702,-2.546019629,Bed and breakfast,Private room,1,1,1,1,17,20,9,15-05-2018,0.14,85,9,9,10,10,9,8,2,221
